FoodName,Rasa,Virya,Vipaka,VataEffect,PittaEffect,KaphaEffect,Calories,Protein,Carbs,Fats
Apple,Sweet,Cooling,Pungent,Pacifies,Pacifies,Aggravates,258,15,7,8
Paneer,Bitter,Cooling,Sweet,Aggravates,Pacifies,Pacifies,379,5,16,15
Kale,Sweet,Cooling,Sweet,Pacifies,Pacifies,Aggravates,107,20,39,7
Yogurt,Pungent,Cooling,Pungent,Aggravates,Aggravates,Pacifies,267,9,29,9
Milk,Astringent,Cooling,Pungent,Aggravates,Pacifies,Pacifies,158,3,43,1
Apple,Pungent,Cooling,Sweet,Aggravates,Aggravates,Pacifies,225,9,16,12
Sesame Seeds,Astringent,Heating,Sour,Aggravates,Aggravates,Pacifies,250,2,19,5
Quinoa,Bitter,Cooling,Sour,Aggravates,Pacifies,Pacifies,342,2,43,6
Quinoa,Astringent,Cooling,Sweet,Aggravates,Pacifies,Pacifies,55,5,14,15
Rice,Pungent,Heating,Sweet,Aggravates,Aggravates,Pacifies,238,20,10,6
Barley,Salty,Heating,Sweet,Pacifies,Aggravates,Aggravates,189,20,19,11
Sweet Potato,Bitter,Cooling,Sour,Aggravates,Pacifies,Pacifies,51,10,47,15
Paneer,Bitter,Heating,Pungent,Aggravates,Aggravates,Pacifies,131,7,10,15
Rice,Pungent,Cooling,Sour,Aggravates,Aggravates,Pacifies,329,11,33,4
Coriander,Pungent,Heating,Sour,Aggravates,Aggravates,Pacifies,344,14,9,0
Lentils,Sour,Cooling,Pungent,Pacifies,Aggravates,Aggravates,266,10,37,12
Almonds,Pungent,Cooling,Sour,Aggravates,Aggravates,Pacifies,97,14,18,15
Grapes,Sweet,Heating,Sweet,Pacifies,Aggravates,Aggravates,374,8,22,2
Grapes,Bitter,Cooling,Pungent,Aggravates,Pacifies,Pacifies,92,10,15,10
Black Beans,Pungent,Heating,Sour,Aggravates,Aggravates,Pacifies,238,2,11,10
Butter,Bitter,Cooling,Sweet,Aggravates,Pacifies,Pacifies,248,20,13,9
Barley,Bitter,Cooling,Pungent,Aggravates,Pacifies,Pacifies,99,7,15,15
Kale,Sweet,Cooling,Sweet,Pacifies,Pacifies,Aggravates,314,17,40,4
Butter,Astringent,Heating,Sweet,Aggravates,Aggravates,Pacifies,291,9,36,1
Mango,Astringent,Cooling,Sour,Aggravates,Pacifies,Pacifies,371,19,8,1
Ginger,Bitter,Heating,Pungent,Aggravates,Aggravates,Pacifies,66,13,35,5
Sunflower Seeds,Pungent,Heating,Pungent,Aggravates,Aggravates,Pacifies,130,6,31,8
Butter,Sour,Heating,Sweet,Pacifies,Aggravates,Aggravates,206,18,5,10
Grapes,Salty,Cooling,Sour,Pacifies,Aggravates,Aggravates,263,15,45,12
Spinach,Astringent,Cooling,Pungent,Aggravates,Pacifies,Pacifies,177,19,5,8
Banana,Salty,Heating,Sweet,Pacifies,Aggravates,Aggravates,218,11,38,5
Pumpkin Seeds,Bitter,Heating,Sweet,Aggravates,Aggravates,Pacifies,337,9,33,14
Quinoa,Sour,Heating,Sweet,Pacifies,Aggravates,Aggravates,99,17,18,10
Pomegranate,Pungent,Heating,Sweet,Aggravates,Aggravates,Pacifies,267,14,23,3
Banana,Pungent,Cooling,Sweet,Aggravates,Aggravates,Pacifies,356,14,38,13
Sunflower Seeds,Pungent,Cooling,Sweet,Aggravates,Aggravates,Pacifies,81,17,15,1
Potato,Pungent,Heating,Pungent,Aggravates,Aggravates,Pacifies,151,3,34,8
Ghee,Sour,Heating,Sweet,Pacifies,Aggravates,Aggravates,75,19,25,7
Sesame Seeds,Bitter,Cooling,Pungent,Aggravates,Pacifies,Pacifies,246,10,10,15
Grapes,Salty,Cooling,Sour,Pacifies,Aggravates,Aggravates,400,19,7,10
Ginger,Bitter,Heating,Pungent,Aggravates,Aggravates,Pacifies,294,5,44,6
Cumin,Bitter,Cooling,Pungent,Aggravates,Pacifies,Pacifies,331,8,24,6
Barley,Salty,Heating,Pungent,Pacifies,Aggravates,Aggravates,159,1,37,1
Carrot,Salty,Cooling,Sweet,Pacifies,Aggravates,Aggravates,190,3,29,1
Chickpeas,Salty,Heating,Pungent,Pacifies,Aggravates,Aggravates,349,17,37,13
Cumin,Salty,Heating,Sweet,Pacifies,Aggravates,Aggravates,58,4,13,4
Quinoa,Salty,Cooling,Pungent,Pacifies,Aggravates,Aggravates,265,8,21,14
Apple,Bitter,Heating,Sweet,Aggravates,Aggravates,Pacifies,259,10,46,11
Kale,Bitter,Heating,Sour,Aggravates,Aggravates,Pacifies,204,17,12,1
Almonds,Pungent,Cooling,Sweet,Aggravates,Aggravates,Pacifies,116,12,46,8
Mung Dal,Astringent,Heating,Sour,Aggravates,Aggravates,Pacifies,137,20,33,1
Butter,Sour,Cooling,Sour,Pacifies,Aggravates,Aggravates,394,18,16,7
Mung Dal,Bitter,Cooling,Pungent,Aggravates,Pacifies,Pacifies,393,19,27,15
Banana,Bitter,Heating,Sour,Aggravates,Aggravates,Pacifies,293,5,14,0
Almonds,Sweet,Heating,Sour,Pacifies,Aggravates,Aggravates,313,20,41,9
Oats,Sweet,Heating,Sour,Pacifies,Aggravates,Aggravates,180,6,45,1
Oats,Sweet,Cooling,Sweet,Pacifies,Pacifies,Aggravates,164,9,29,12
Almonds,Astringent,Cooling,Pungent,Aggravates,Pacifies,Pacifies,356,12,14,4
Sweet Potato,Sweet,Heating,Pungent,Pacifies,Aggravates,Aggravates,209,18,15,0
Yogurt,Sour,Cooling,Pungent,Pacifies,Aggravates,Aggravates,116,2,32,12
Kale,Bitter,Cooling,Sweet,Aggravates,Pacifies,Pacifies,353,2,33,2
Butter,Sweet,Cooling,Pungent,Pacifies,Pacifies,Aggravates,72,8,36,2
Cumin,Salty,Cooling,Pungent,Pacifies,Aggravates,Aggravates,252,15,35,10
Oats,Sour,Cooling,Pungent,Pacifies,Aggravates,Aggravates,145,9,41,0
Grapes,Sour,Cooling,Sweet,Pacifies,Aggravates,Aggravates,193,13,44,1
Sunflower Seeds,Pungent,Heating,Pungent,Aggravates,Aggravates,Pacifies,221,12,35,1
Black Pepper,Bitter,Cooling,Sweet,Aggravates,Pacifies,Pacifies,185,16,9,7
Quinoa,Salty,Cooling,Sweet,Pacifies,Aggravates,Aggravates,173,7,23,3
Apple,Salty,Cooling,Sour,Pacifies,Aggravates,Aggravates,304,14,18,13
Coriander,Astringent,Heating,Sour,Aggravates,Aggravates,Pacifies,282,15,26,14
Coriander,Bitter,Cooling,Pungent,Aggravates,Pacifies,Pacifies,74,7,21,0
Paneer,Astringent,Cooling,Sweet,Aggravates,Pacifies,Pacifies,176,16,24,5
Sesame Seeds,Sour,Heating,Sour,Pacifies,Aggravates,Aggravates,251,6,22,4
Spinach,Sweet,Cooling,Sweet,Pacifies,Pacifies,Aggravates,334,3,18,1
Pomegranate,Sweet,Cooling,Pungent,Pacifies,Pacifies,Aggravates,284,18,17,4
Almonds,Salty,Heating,Pungent,Pacifies,Aggravates,Aggravates,372,5,17,15
Yogurt,Sour,Cooling,Pungent,Pacifies,Aggravates,Aggravates,60,5,19,11
Cumin,Bitter,Cooling,Sweet,Aggravates,Pacifies,Pacifies,337,13,6,5
Carrot,Astringent,Heating,Sweet,Aggravates,Aggravates,Pacifies,314,10,17,7
Spinach,Sweet,Heating,Sour,Pacifies,Aggravates,Aggravates,271,5,33,14
Turmeric,Pungent,Heating,Pungent,Aggravates,Aggravates,Pacifies,375,17,47,1
Mung Dal,Astringent,Cooling,Sweet,Aggravates,Pacifies,Pacifies,363,19,43,4
Paneer,Pungent,Cooling,Pungent,Aggravates,Aggravates,Pacifies,133,10,23,11
Lentils,Bitter,Cooling,Sweet,Aggravates,Pacifies,Pacifies,74,3,37,7
Coriander,Astringent,Cooling,Pungent,Aggravates,Pacifies,Pacifies,83,15,12,3
Walnuts,Astringent,Cooling,Pungent,Aggravates,Pacifies,Pacifies,274,2,14,5
Potato,Sour,Heating,Sour,Pacifies,Aggravates,Aggravates,117,18,24,7
Pomegranate,Astringent,Heating,Pungent,Aggravates,Aggravates,Pacifies,222,7,44,5
Mung Dal,Salty,Heating,Sour,Pacifies,Aggravates,Aggravates,319,17,35,8
Ginger,Bitter,Cooling,Pungent,Aggravates,Pacifies,Pacifies,209,8,45,5
Potato,Sweet,Cooling,Sour,Pacifies,Pacifies,Aggravates,217,20,13,11
Oats,Sweet,Cooling,Pungent,Pacifies,Pacifies,Aggravates,227,19,35,5
Almonds,Sweet,Heating,Sweet,Pacifies,Aggravates,Aggravates,188,14,12,14
Kale,Sweet,Heating,Pungent,Pacifies,Aggravates,Aggravates,322,17,39,0
Chickpeas,Sweet,Heating,Pungent,Pacifies,Aggravates,Aggravates,161,9,18,3
Oats,Salty,Heating,Pungent,Pacifies,Aggravates,Aggravates,51,5,25,3
Mung Dal,Astringent,Cooling,Pungent,Aggravates,Pacifies,Pacifies,118,6,48,10
Oats,Salty,Heating,Pungent,Pacifies,Aggravates,Aggravates,236,11,13,10
Carrot,Sour,Heating,Pungent,Pacifies,Aggravates,Aggravates,315,10,25,15
Black Beans,Bitter,Cooling,Pungent,Aggravates,Pacifies,Pacifies,215,13,24,9
Barley,Astringent,Heating,Pungent,Aggravates,Aggravates,Pacifies,399,17,10,13
Carrot,Pungent,Heating,Pungent,Aggravates,Aggravates,Pacifies,50,1,26,3
Pumpkin Seeds,Bitter,Heating,Pungent,Aggravates,Aggravates,Pacifies,183,7,5,7
Apple,Pungent,Cooling,Sour,Aggravates,Aggravates,Pacifies,187,4,18,4
Wheat,Sweet,Cooling,Sweet,Pacifies,Pacifies,Aggravates,303,17,9,12
Turmeric,Salty,Heating,Sour,Pacifies,Aggravates,Aggravates,385,19,18,2
Wheat,Sour,Cooling,Pungent,Pacifies,Aggravates,Aggravates,320,2,40,5
Paneer,Sour,Heating,Sweet,Pacifies,Aggravates,Aggravates,192,5,40,5
Coriander,Pungent,Heating,Sweet,Aggravates,Aggravates,Pacifies,153,4,49,0
Pomegranate,Sour,Heating,Sour,Pacifies,Aggravates,Aggravates,150,8,17,2
Milk,Sour,Heating,Sweet,Pacifies,Aggravates,Aggravates,298,12,19,15
Spinach,Sweet,Heating,Sweet,Pacifies,Aggravates,Aggravates,250,8,38,8
Black Beans,Astringent,Cooling,Sour,Aggravates,Pacifies,Pacifies,192,20,40,6
Pomegranate,Salty,Cooling,Sour,Pacifies,Aggravates,Aggravates,170,3,28,9
Walnuts,Bitter,Cooling,Sour,Aggravates,Pacifies,Pacifies,385,18,18,1
Paneer,Salty,Cooling,Pungent,Pacifies,Aggravates,Aggravates,273,11,39,14
Pomegranate,Bitter,Cooling,Pungent,Aggravates,Pacifies,Pacifies,222,16,19,4
Barley,Bitter,Cooling,Sour,Aggravates,Pacifies,Pacifies,260,10,15,10
Spinach,Astringent,Cooling,Sweet,Aggravates,Pacifies,Pacifies,389,20,7,15
Butter,Astringent,Cooling,Sour,Aggravates,Pacifies,Pacifies,264,5,49,7
Milk,Sweet,Heating,Sour,Pacifies,Aggravates,Aggravates,228,5,21,0
Banana,Bitter,Heating,Sweet,Aggravates,Aggravates,Pacifies,354,4,15,4
Lentils,Pungent,Heating,Pungent,Aggravates,Aggravates,Pacifies,357,6,34,1
Quinoa,Sour,Cooling,Pungent,Pacifies,Aggravates,Aggravates,260,8,37,14
